Order 3
1.88226 nan nan
1.88255 3.62877e-14 5.52464e-16
1.88283 3.80932e-14 7.06362e-16
1.88312 4.01677e-14 1.1155e-15
1.88341 5.04394e-14 5.51041e-15
1.8837 4.15954e-14 1.69541e-14
1.88399 2.3838e-14 3.12155e-14
1.88427 3.14005e-14 1.59125e-14
1.88456 3.72657e-14 3.15884e-15
1.88485 3.25228e-14 1.43485e-15
1.88514 3.16578e-14 1.37537e-15
1.88542 3.03551e-14 1.55307e-15
1.88571 3.61773e-14 9.24444e-16
1.886 3.46743e-14 6.70661e-16
1.88629 3.86604e-14 1.24372e-15
1.88657 3.24877e-14 2.89224e-15
1.88686 4.29559e-14 2.47749e-15
1.88715 4.09505e-14 8.13659e-16
1.88744 3.83232e-14 4.04558e-16
1.88773 3.76314e-14 2.94893e-16
1.88801 3.70011e-14 2.83777e-16
1.8883 3.50871e-14 3.14441e-16
1.88859 3.34077e-14 3.78488e-16
1.88888 3.4396e-14 4.72642e-16
1.88916 3.68916e-14 8.22416e-16
1.88945 4.25308e-14 3.40081e-15
1.88974 3.50691e-14 1.46207e-14
1.89003 1.26749e-14 3.68566e-14
1.89032 4.01255e-14 2.04025e-14
1.8906 3.33583e-14 3.81484e-15
1.89089 3.4808e-14 1.79672e-15
1.89118 3.62569e-14 1.9616e-15
1.89147 3.28673e-14 4.45188e-15
1.89175 1.34979e-14 1.28722e-14
1.89204 3.99499e-15 2.5942e-14
1.89233 4.57001e-14 2.35306e-14
1.89262 3.28957e-14 9.96608e-15
1.89291 3.60885e-14 6.78909e-15
1.89319 3.10301e-14 6.62358e-15
1.89348 3.62357e-14 1.12126e-14
1.89377 3.84964e-14 4.9066e-15
1.89406 3.73036e-14 1.51359e-15
1.89434 3.169e-14 7.97056e-16
1.89463 3.41543e-14 5.53878e-16
1.89492 3.77055e-14 3.56572e-16
1.89521 3.83295e-14 2.77758e-16
1.8955 3.76535e-14 3.21648e-16
1.89578 3.36428e-14 4.41512e-16
1.89607 3.04657e-14 5.31402e-16
