Order 3
1.88226 7.83893e-14 1.0
1.88255 7.74547e-14 1.0
1.88283 7.77429e-14 1.0
1.88312 7.79807e-14 1.0
1.88341 7.81257e-14 1.0
1.8837 7.81649e-14 1.0
1.88399 7.81116e-14 1.0
1.88427 7.79988e-14 1.0
1.88456 7.78668e-14 1.0
1.88485 7.7753e-14 1.0
1.88514 7.76856e-14 1.0
1.88542 7.76769e-14 1.0
1.88571 7.77215e-14 1.0
1.886 7.77988e-14 1.0
1.88629 7.78833e-14 1.0
1.88657 7.79536e-14 1.0
1.88686 7.80004e-14 1.0
1.88715 7.80259e-14 1.0
1.88744 7.80384e-14 1.0
1.88773 7.80448e-14 1.0
1.88801 7.80431e-14 1.0
1.8883 7.80241e-14 1.0
1.88859 7.79804e-14 1.0
1.88888 7.79176e-14 1.0
1.88916 7.78523e-14 1.0
1.88945 7.78065e-14 1.0
1.88974 7.7796e-14 1.0
1.89003 7.78208e-14 1.0
1.89032 7.78659e-14 1.0
1.8906 7.79062e-14 1.0
1.89089 7.79182e-14 1.0
1.89118 7.78873e-14 1.0
1.89147 7.78123e-14 1.0
1.89175 7.77028e-14 1.0
1.89204 7.75726e-14 1.0
1.89233 7.74357e-14 1.0
1.89262 7.73045e-14 1.0
1.89291 7.71922e-14 1.0
1.89319 7.71109e-14 1.0
1.89348 7.70675e-14 1.0
1.89377 7.70582e-14 1.0
1.89406 7.70709e-14 1.0
1.89434 7.71003e-14 1.0
1.89463 7.7153e-14 1.0
1.89492 7.71272e-14 1.0
1.89521 7.70548e-14 1.0
1.8955 7.69644e-14 1.0
1.89578 7.68795e-14 1.0
1.89607 7.68154e-14 1.0
1.89636 7.67773e-14 1.0
1.89665 7.67603e-14 1.0
1.89693 7.67539e-14 1.0
1.89722 7.67466e-14 1.0
1.89751 7.67293e-14 1.0
1.8978 7.66958e-14 1.0
1.89809 7.66453e-14 1.0
1.89837 7.65826e-14 1.0
1.89866 7.65157e-14 1.0
1.89895 7.64528e-14 1.0
1.89924 7.64008e-14 1.0
1.89952 7.63621e-14 1.0
1.89981 7.6333e-14 1.0
1.9001 7.63079e-14 1.0
1.90039 7.62796e-14 1.0
1.90068 7.6244e-14 1.0
1.90096 7.62005e-14 1.0
1.90125 7.61535e-14 1.0
1.90154 7.61097e-14 1.0
1.90183 7.60663e-14 1.0
1.90211 7.60246e-14 1.0
1.9024 7.59816e-14 1.0
1.90269 7.59342e-14 1.0
1.90298 7.58822e-14 1.0
1.90327 7.58282e-14 1.0
1.90355 7.57756e-14 1.0
1.90384 7.57322e-14 1.0
1.90413 7.56943e-14 1.0
1.90442 7.56597e-14 1.0
1.9047 7.56279e-14 1.0
1.90499 7.5594e-14 1.0
1.90528 7.5558e-14 1.0
1.90557 7.55183e-14 1.0
1.90586 7.54744e-14 1.0
1.90614 7.54268e-14 1.0
1.90643 7.53774e-14 1.0
1.90672 7.53292e-14 1.0
1.90701 7.52842e-14 1.0
1.90729 7.52441e-14 1.0
1.90758 7.52079e-14 1.0
1.90787 7.51728e-14 1.0
1.90816 7.5136e-14 1.0
1.90845 7.50943e-14 1.0
1.90873 7.50478e-14 1.0
1.90902 7.49998e-14 1.0
1.90931 7.49529e-14 1.0
1.9096 7.4909e-14 1.0
1.90988 7.48684e-14 1.0
1.91017 7.48292e-14 1.0
1.91046 7.47895e-14 1.0
1.91075 7.47469e-14 1.0
1.91104 7.47013e-14 1.0
1.91132 7.4654e-14 1.0
1.91161 7.46069e-14 1.0
1.9119 7.45619e-14 1.0
1.91219 7.45286e-14 1.0
1.91247 7.44881e-14 1.0
1.91276 7.44437e-14 1.0
1.91305 7.43982e-14 1.0
1.91334 7.43523e-14 1.0
1.91363 7.43076e-14 1.0
1.91391 7.42657e-14 1.0
1.9142 7.4224e-14 1.0
1.91449 7.41833e-14 1.0
1.91478 7.41419e-14 1.0
1.91506 7.41003e-14 1.0
1.91535 7.40586e-14 1.0
1.91564 7.40159e-14 1.0
1.91593 7.39724e-14 1.0
1.91621 7.39288e-14 1.0
1.9165 7.38857e-14 1.0
1.91679 7.38429e-14 1.0
1.91708 7.38e-14 1.0
1.91737 7.37567e-14 1.0
1.91765 7.37125e-14 1.0
1.91794 7.36671e-14 1.0
1.91823 7.36202e-14 1.0
1.91852 7.35719e-14 1.0
1.9188 7.35224e-14 1.0
1.91909 7.34729e-14 1.0
1.91938 7.34248e-14 1.0
1.91967 7.33792e-14 1.0
1.91996 7.33369e-14 1.0
1.92024 7.32974e-14 1.0
1.92053 7.32599e-14 1.0
1.92082 7.32221e-14 1.0
