Order 3
1.88226 nan nan
1.88255 137.202 1.03989
1.88283 110.266 0.998196
1.88312 62.8671 0.931573
1.88341 20.4398 0.961052
1.8837 5.52266 1.34334
1.88399 1.74379 1.71807
1.88427 11.5946 1.27849
1.88456 33.997 0.971319
1.88485 52.638 0.901116
1.88514 45.2183 0.927844
1.88542 56.657 1.00987
1.88571 108.446 1.05514
1.886 108.416 0.983018
1.88629 58.5903 0.974008
1.88657 24.9116 1.09959
1.88686 57.985 1.12459
1.88715 142.344 1.07486
1.88744 251.717 1.13487
1.88773 316.908 1.19283
1.88801 308.468 1.17714
1.8883 249.306 1.10828
1.88859 195.532 1.04117
1.88888 149.192 0.979059
1.88916 79.5615 0.904374
1.88945 25.1893 0.922488
1.88974 3.90891 1.23468
1.89003 1.90886 1.6364
1.89032 8.97244 1.36592
1.8906 28.3175 0.983434
1.89089 39.9629 0.845894
1.89118 30.4161 0.812367
1.89147 13.5591 0.827195
1.89175 4.52743 1.0131
1.89204 2.27928 1.18826
1.89233 4.52531 1.05118
1.89262 6.1673 0.873686
1.89291 10.0486 0.827176
1.89319 8.88072 0.853657
1.89348 5.74683 1.00651
1.89377 27.3107 1.08821
1.89406 67.5691 0.991267
1.89434 95.9138 0.920773
1.89463 160.88 1.00168
1.89492 278.225 1.1318
1.89521 315.786 1.14762
1.8955 230.004 1.04147
1.89578 147.396 0.942721
1.89607 124.908 0.921275
1.89636 137.58 0.94302
1.89665 147.273 0.946087
1.89693 103.389 0.884446
1.89722 40.4528 0.885252
1.89751 8.10179 1.06617
1.8978 3.81418 1.10348
1.89809 5.07219 0.911413
1.89837 3.8403 0.856389
1.89866 0.909907 1.03402
1.89895 0.372562 1.22818
1.89924 0.310351 1.53162
1.89952 -0.612163 1.85268
1.89981 -0.485635 1.61377
1.9001 0.368418 1.30717
1.90039 0.742894 1.36164
1.90068 4.32251 1.20255
1.90096 10.5108 0.894083
1.90125 17.1873 0.780935
1.90154 25.4072 0.767897
1.90183 24.7892 0.758781
1.90211 12.4168 0.780729
1.9024 2.57376 1.01152
1.90269 -0.926652 1.59795
1.90298 1.43198 1.78846
1.90327 9.02055 1.19338
1.90355 23.3639 0.834726
1.90384 32.8258 0.76982
1.90413 23.8841 0.780654
1.90442 7.56538 0.842823
1.9047 0.859921 0.991718
1.90499 0.608599 1.51766
1.90528 0.733556 2.25749
1.90557 -0.90597 2.06669
1.90586 0.0356039 1.29626
1.90614 0.167661 1.11227
1.90643 0.587854 1.5072
1.90672 4.03057 1.93494
1.90701 22.5382 1.42988
1.90729 57.2327 0.929488
1.90758 99.5089 0.860873
1.90787 120.571 0.870016
1.90816 111.259 0.861773
1.90845 73.1977 0.859376
1.90873 51.5473 0.912904
1.90902 97.8504 0.965853
1.90931 129.417 0.917063
1.9096 100.81 0.856151
1.90988 70.9189 0.832181
1.91017 39.7429 0.869974
1.91046 13.2543 0.93458
1.91075 10.9798 0.901542
1.91104 6.78433 0.958312
1.91132 1.0266 1.35189
1.91161 3.2951 1.48617
1.9119 12.9043 0.992794
1.91219 13.2231 0.774133
1.91247 8.36907 0.740339
1.91276 5.53594 0.789057
1.91305 2.50224 1.08151
1.91334 1.26057 1.81419
1.91363 1.12224 2.08641
1.91391 0.834522 1.29264
1.9142 0.687888 0.991429
1.91449 9.5733 0.951802
1.91478 41.5531 0.914699
1.91506 88.2652 0.89219
1.91535 98.2929 0.849404
1.91564 57.2878 0.854731
1.91593 13.5694 1.01133
1.91621 1.9703 1.18028
1.9165 8.2209 1.07405
1.91679 34.0382 0.941408
1.91708 129.044 0.965442
1.91737 273.102 1.08379
1.91765 359.603 1.14414
1.91794 370.158 1.15056
1.91823 340.527 1.1197
1.91852 261.349 1.035
1.9188 145.934 0.90148
1.91909 50.9432 0.805532
1.91938 8.99224 0.970256
1.91967 -0.46495 1.45575
1.91996 1.83067 1.46349
1.92024 0.834413 1.38681
1.92053 -1.32177 2.02665
1.92082 4.86625 2.11606
1.92111 11.5603 1.19493
1.92139 54.2378 0.907376
1.92168 157.364 0.969137
1.92197 260.217 1.05707
1.92226 314.974 1.10321
1.92255 312.192 1.09942
1.92283 322.698 1.1128
