Order 3
1.88234 nan nan
1.88263 nan nan
1.88292 1.09048e-15 4.90357e-16
1.88321 6.9998e-16 1.09102e-15
1.88349 2.35315e-15 4.14125e-15
1.88378 7.5953e-15 2.29539e-14
1.88407 1.07991e-14 1.74478e-14
1.88436 1.61992e-15 5.96957e-15
1.88464 -3.43246e-15 2.61926e-15
1.88493 -1.59082e-15 1.69734e-15
1.88522 3.19392e-16 2.06252e-15
1.88551 -1.58483e-16 9.80437e-16
1.88579 7.76057e-16 4.54946e-16
1.88608 1.1166e-15 5.0114e-16
1.88637 1.59614e-15 1.17252e-15
1.88666 5.87236e-15 4.25013e-15
1.88694 9.68734e-16 1.01992e-15
1.88723 7.11815e-16 2.20117e-16
1.88752 8.95845e-16 9.41923e-17
1.88781 8.3401e-16 7.34315e-17
1.88809 9.0152e-16 8.10906e-17
1.88838 1.05243e-15 1.15976e-16
1.88867 8.3963e-16 1.64562e-16
1.88896 5.83622e-16 2.66182e-16
1.88924 1.14653e-16 6.90098e-16
1.88953 -6.17925e-15 5.11577e-15
1.88982 -1.11022e-14 1.72804e-14
1.89011 2.14042e-14 8.5371e-14
1.89039 6.14536e-15 2.53567e-14
1.89068 4.21683e-15 4.53747e-15
1.89097 1.82489e-15 1.97973e-15
1.89126 1.55148e-15 3.7179e-15
1.89154 3.88032e-15 1.10959e-14
1.89183 -1.68178e-15 1.22195e-14
1.89212 -1.33152e-14 2.01718e-14
1.89241 -1.17363e-14 1.73698e-14
1.89269 -6.85182e-15 1.12023e-14
1.89298 6.58732e-15 1.14063e-14
1.89327 -1.39635e-14 1.21954e-13
1.89356 -1.55461e-14 5.27721e-14
1.89384 -2.66644e-15 2.35041e-15
1.89413 -3.24923e-16 6.91506e-16
1.89442 4.58642e-16 3.73691e-16
1.89471 6.51558e-16 1.35054e-16
1.89499 8.16215e-16 6.76192e-17
1.89528 9.50903e-16 6.66398e-17
1.89557 1.07789e-15 1.13185e-16
1.89585 6.9593e-16 1.94969e-16
1.89614 6.58537e-16 2.55454e-16
1.89643 1.0309e-15 2.29844e-16
1.89672 9.02773e-16 2.34569e-16
1.897 2.39476e-16 4.70791e-16
1.89729 5.19937e-15 3.45551e-15
1.89758 1.0515e-13 7.37079e-13
1.89787 1.39005e-14 4.09469e-14
1.89815 1.13768e-14 1.80061e-14
1.89844 -1.29699e-15 1.22642e-14
1.89873 2.5016e-13 5.18174e-11
1.89902 -1.38238e-12 3.03892e-10
1.8993 -5.25394e-12 1.14627e-09
1.89959 -2.23459e-12 4.62498e-10
1.89988 -5.3995e-13 1.09334e-10
1.90017 2.21265e-13 4.21135e-11
1.90045 -1.88532e-13 2.11388e-11
1.90074 -5.26193e-14 1.59709e-13
1.90103 -3.82487e-15 1.7388e-14
1.90132 8.64954e-15 1.08177e-14
1.9016 1.99337e-15 4.61232e-15
1.90189 -3.2195e-16 5.6895e-15
1.90218 -2.56638e-15 1.11092e-14
1.90247 -2.65922e-14 1.97394e-13
1.90275 -1.09403e-13 5.38707e-13
1.90304 -1.25732e-13 6.01961e-13
1.90333 -3.79931e-14 1.49975e-13
1.90362 4.45061e-15 6.24218e-15
1.9039 2.15583e-15 3.60809e-15
1.90419 9.12276e-15 1.26449e-14
1.90448 -1.05696e-14 2.0847e-14
1.90477 9.08841e-15 2.49549e-14
1.90505 1.01202e-14 2.30967e-14
1.90534 4.45968e-13 8.93098e-12
1.90563 -4.38885e-14 8.86244e-13
1.90592 -1.51624e-14 3.03582e-13
1.9062 6.35918e-14 1.1588e-12
1.90649 7.72225e-15 1.2651e-13
1.90678 1.19175e-16 1.3524e-14
1.90707 1.06156e-15 3.67873e-15
1.90735 2.47205e-15 8.7278e-16
1.90764 1.23643e-15 3.87362e-16
1.90793 8.66358e-16 3.2155e-16
1.90822 8.38306e-16 3.83656e-16
1.9085 3.34851e-16 9.25628e-16
1.90879 9.0816e-16 8.03399e-16
