Order 3
1.88226 6.24515e-14 1.0
1.88255 6.27166e-14 1.0
1.88283 6.29513e-14 1.0
1.88312 6.3108e-14 1.0
1.88341 6.31901e-14 1.0
1.8837 6.32329e-14 1.0
1.88399 6.32673e-14 1.0
1.88427 6.33004e-14 1.0
1.88456 6.3317e-14 1.0
1.88485 6.33009e-14 1.0
1.88514 6.32547e-14 1.0
1.88542 6.32047e-14 1.0
1.88571 6.31845e-14 1.0
1.886 6.32081e-14 1.0
1.88629 6.32563e-14 1.0
1.88657 6.32913e-14 1.0
1.88686 6.32892e-14 1.0
1.88715 6.32641e-14 1.0
1.88744 6.32586e-14 1.0
1.88773 6.33062e-14 1.0
1.88801 6.33972e-14 1.0
1.8883 6.34828e-14 1.0
1.88859 6.35109e-14 1.0
1.88888 6.34646e-14 1.0
1.88916 6.33727e-14 1.0
1.88945 6.32928e-14 1.0
1.88974 6.32769e-14 1.0
1.89003 6.33358e-14 1.0
1.89032 6.34242e-14 1.0
1.8906 6.34647e-14 1.0
1.89089 6.33988e-14 1.0
1.89118 6.32316e-14 1.0
1.89147 6.30337e-14 1.0
1.89175 6.28964e-14 1.0
1.89204 6.28723e-14 1.0
1.89233 6.29448e-14 1.0
1.89262 6.3044e-14 1.0
1.89291 6.30939e-14 1.0
1.89319 6.30572e-14 1.0
1.89348 6.29511e-14 1.0
1.89377 6.28282e-14 1.0
1.89406 6.27389e-14 1.0
1.89434 6.27245e-14 1.0
1.89463 6.27333e-14 1.0
1.89492 6.27075e-14 1.0
1.89521 6.267e-14 1.0
1.8955 6.26288e-14 1.0
1.89578 6.25906e-14 1.0
1.89607 6.25578e-14 1.0
1.89636 6.25287e-14 1.0
1.89665 6.25002e-14 1.0
1.89693 6.24714e-14 1.0
1.89722 6.24444e-14 1.0
1.89751 6.24183e-14 1.0
1.8978 6.23893e-14 1.0
1.89809 6.23523e-14 1.0
1.89837 6.23055e-14 1.0
1.89866 6.22522e-14 1.0
1.89895 6.21998e-14 1.0
1.89924 6.21578e-14 1.0
1.89952 6.21307e-14 1.0
1.89981 6.2115e-14 1.0
1.9001 6.21005e-14 1.0
1.90039 6.20756e-14 1.0
1.90068 6.20359e-14 1.0
1.90096 6.19868e-14 1.0
1.90125 6.19413e-14 1.0
1.90154 6.1906e-14 1.0
1.90183 6.188e-14 1.0
1.90211 6.18577e-14 1.0
1.9024 6.18307e-14 1.0
1.90269 6.17936e-14 1.0
1.90298 6.17487e-14 1.0
1.90327 6.17025e-14 1.0
1.90355 6.16607e-14 1.0
1.90384 6.16306e-14 1.0
1.90413 6.15962e-14 1.0
1.90442 6.15642e-14 1.0
1.9047 6.15277e-14 1.0
1.90499 6.14937e-14 1.0
1.90528 6.14643e-14 1.0
1.90557 6.14385e-14 1.0
1.90586 6.14117e-14 1.0
1.90614 6.13792e-14 1.0
1.90643 6.13397e-14 1.0
1.90672 6.12968e-14 1.0
1.90701 6.12555e-14 1.0
1.90729 6.12211e-14 1.0
1.90758 6.11946e-14 1.0
1.90787 6.11723e-14 1.0
1.90816 6.11467e-14 1.0
1.90845 6.11106e-14 1.0
1.90873 6.10636e-14 1.0
1.90902 6.1014e-14 1.0
1.90931 6.09699e-14 1.0
1.9096 6.09378e-14 1.0
1.90988 6.0916e-14 1.0
1.91017 6.08966e-14 1.0
1.91046 6.08711e-14 1.0
1.91075 6.08353e-14 1.0
1.91104 6.07913e-14 1.0
1.91132 6.07455e-14 1.0
1.91161 6.07035e-14 1.0
1.9119 6.06711e-14 1.0
1.91219 6.06436e-14 1.0
1.91247 6.06103e-14 1.0
1.91276 6.05748e-14 1.0
1.91305 6.05385e-14 1.0
1.91334 6.05019e-14 1.0
1.91363 6.04667e-14 1.0
1.91391 6.04331e-14 1.0
1.9142 6.03997e-14 1.0
1.91449 6.03666e-14 1.0
1.91478 6.03328e-14 1.0
1.91506 6.02986e-14 1.0
1.91535 6.02636e-14 1.0
1.91564 6.02282e-14 1.0
1.91593 6.01933e-14 1.0
1.91621 6.01591e-14 1.0
1.9165 6.01252e-14 1.0
1.91679 6.00907e-14 1.0
1.91708 6.00548e-14 1.0
1.91737 6.00184e-14 1.0
1.91765 5.99817e-14 1.0
1.91794 5.99452e-14 1.0
1.91823 5.9908e-14 1.0
1.91852 5.987e-14 1.0
1.9188 5.98315e-14 1.0
1.91909 5.97934e-14 1.0
1.91938 5.97565e-14 1.0
1.91967 5.97216e-14 1.0
1.91996 5.96886e-14 1.0
1.92024 5.96566e-14 1.0
1.92053 5.96245e-14 1.0
1.92082 5.95908e-14 1.0
1.92111 5.95554e-14 1.0
1.92139 5.9519e-14 1.0
1.92168 5.94825e-14 1.0
1.92197 5.94462e-14 1.0
1.92226 5.94101e-14 1.0
1.92255 5.9374e-14 1.0
1.92283 5.93371e-14 1.0
1.92312 5.92995e-14 1.0
1.92341 5.9262e-14 1.0
1.9237 5.92255e-14 1.0
1.92398 5.91898e-14 1.0
1.92427 5.9154e-14 1.0
1.92456 5.91171e-14 1.0
1.92485 5.90784e-14 1.0
1.92514 5.90379e-14 1.0
1.92542 5.89953e-14 1.0
1.92571 5.89508e-14 1.0
1.926 5.89032e-14 1.0
1.92629 5.88483e-14 1.0
1.92657 5.88166e-14 1.0
1.92686 5.88117e-14 1.0
1.92715 5.88243e-14 1.0
1.92744 5.88395e-14 1.0
1.92773 5.88345e-14 1.0
